Culture,Saison,Mois_Debut,Mois_Fin,Jour,Temperature_Air_°C,Temperature_Sol_°C,Humidite_Air_%,Humidite_Sol_%,Capteur_Humidite_Sol_ADC,Seuil_Sol_Sec_%,Seuil_Sol_Humide_%,Etat_Sol,Pompe_Active,Decision_Irrigation,Recommandation_Irrigation,Justification,Besoin_Eau_mm_jour,Duree_Pompage_min,Frequence_Irrigation_jour
Tomate,Hiver,12,2,20,13.4,12.3,77.2,62.9,1519,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (62.9% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,21,14.0,11.8,76.6,61.6,1572,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (61.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,22,10.2,8.5,84.6,75.9,985,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 75.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,23,14.2,12.3,72.4,77.8,907,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 77.8% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,24,13.3,11.2,85.4,72.3,1132,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.3% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,25,11.7,9.8,70.5,62.7,1527,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (62.7% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,26,8.2,5.9,76.3,72.7,1117,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.7% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,27,14.4,12.9,78.2,78.9,864,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 78.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,28,9.6,8.4,75.8,64.0,1472,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (64.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Hiver,12,2,29,14.5,11.9,82.7,81.8,745,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 81.8% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Hiver,12,2,30,13.6,12.3,87.9,73.5,1085,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 73.5% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,1,20.1,17.3,66.4,52.8,1934,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (52.8% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,2,14.3,12.4,76.4,71.5,1166,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 71.5% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,3,12.1,10.0,68.3,55.6,1820,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (55.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,4,13.2,11.5,78.9,58.1,1716,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (58.1% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,5,17.2,14.8,67.3,74.3,1052,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 74.3% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,6,21.6,20.1,69.9,57.5,1739,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (57.5% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,7,14.8,13.8,72.2,62.6,1532,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (62.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,8,12.5,11.0,78.2,56.0,1802,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (56.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,9,13.4,11.5,79.7,56.1,1799,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (56.1% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,10,18.7,16.2,64.8,68.2,1301,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (68.2% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,11,15.7,13.4,72.7,63.4,1499,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (63.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,12,12.9,10.2,66.4,54.7,1856,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (54.7% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,13,12.4,10.2,73.6,50.4,2030,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (50.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,14,17.1,15.7,72.9,54.4,1868,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (54.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,15,18.9,17.1,78.7,53.4,1906,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (53.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,16,15.4,14.2,78.5,71.9,1149,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 71.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,17,14.6,12.3,76.3,63.9,1479,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (63.9% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,18,17.3,15.8,61.9,72.4,1128,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.4% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,19,21.0,18.7,66.8,58.7,1689,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (58.7% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,20,19.3,16.5,77.7,69.5,1249,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (69.5% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,21,18.4,17.3,63.2,72.5,1127,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.5% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,22,18.1,17.0,62.0,66.6,1368,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (66.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,23,12.1,10.7,71.0,67.3,1339,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (67.3% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,24,18.5,17.1,74.2,55.9,1804,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (55.9% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,25,15.3,12.8,73.0,71.2,1178,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 71.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Printemps,3,5,26,18.6,16.4,61.9,59.2,1671,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (59.2% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,27,14.7,13.2,79.5,59.8,1645,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (59.8% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,28,20.9,18.7,75.9,62.6,1532,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (62.6% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,29,17.8,15.8,63.9,68.1,1307,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (68.1% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Printemps,3,5,30,14.8,13.8,72.9,54.4,1866,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (54.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Été,6,8,1,34.2,31.3,67.4,46.1,2207,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (46.1% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,2,22.2,19.3,52.8,64.0,1474,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (64.0% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,3,34.5,31.8,48.8,46.6,2188,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (46.6% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,4,33.1,31.4,45.1,51.7,1977,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (51.7% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,5,34.2,31.8,57.1,37.9,2542,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (37.9% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,6,30.0,27.0,44.2,50.5,2024,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (50.5% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,7,33.4,30.9,60.9,56.1,1798,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (56.1% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,8,26.7,25.1,64.3,59.3,1666,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (59.3% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,9,33.3,30.4,55.3,50.0,2045,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (50.0% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,10,32.4,30.1,61.1,58.9,1684,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (58.9% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,11,33.6,31.9,51.3,37.8,2546,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (37.8% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,12,29.5,28.4,54.0,51.3,1995,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (51.3% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,13,25.7,23.5,40.9,36.1,2615,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (36.1% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,14,32.7,31.0,43.8,50.7,2020,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (50.7% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,15,32.0,30.6,58.7,37.6,2556,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (37.6% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,16,22.7,20.6,56.2,54.1,1878,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (54.1% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,17,31.4,28.5,55.5,44.7,2264,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (44.7% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,18,32.3,30.8,53.2,37.4,2565,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (37.4% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,19,22.3,19.4,65.1,55.9,1806,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (55.9% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,20,27.3,26.0,44.7,42.5,2354,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (42.5% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,21,29.1,26.7,59.8,43.4,2317,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (43.4% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,22,34.4,31.9,56.6,53.4,1910,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (53.4% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,23,27.5,26.0,50.7,57.7,1730,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (57.7% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,24,22.2,21.0,41.4,36.2,2611,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (36.2% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,25,33.1,30.7,54.2,37.9,2541,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (37.9% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,26,28.4,26.4,45.2,48.0,2128,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (48.0% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,27,27.2,24.9,59.1,36.4,2606,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (36.4% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,28,26.9,24.6,55.1,60.7,1609,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (60.7% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,29,30.6,29.2,42.1,54.3,1872,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (54.3% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Été,6,8,30,22.3,20.2,68.2,52.3,1954,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (52.3% < 70%) - Activation irrigation requise,5.5,25,2
Tomate,Automne,9,11,1,13.9,11.6,79.2,73.6,1079,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 73.6% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,2,19.4,17.6,89.2,82.6,711,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 82.6% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,3,12.0,10.8,72.0,60.5,1619,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (60.5% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,4,10.9,8.6,71.4,68.0,1311,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (68.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,5,18.4,17.4,86.3,67.0,1349,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (67.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,6,11.2,8.8,82.6,81.9,739,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 81.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,7,17.4,14.7,75.6,64.4,1456,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (64.4% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,8,17.5,14.9,89.8,70.3,1215,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 70.3% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,9,13.7,11.2,76.8,83.3,685,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 83.3% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,10,18.6,16.7,85.0,78.9,865,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 78.9% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,11,11.0,8.2,80.1,80.7,791,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 80.7% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,12,13.2,10.4,77.8,60.3,1626,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (60.3% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,13,19.1,17.9,76.4,83.8,665,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 83.8% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,14,19.5,17.4,82.6,71.2,1178,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 71.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,15,12.9,11.3,83.5,78.8,867,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 78.8% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,16,17.9,15.3,71.8,72.4,1131,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 72.4% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,17,10.6,8.5,78.8,82.2,729,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 82.2% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,18,13.5,12.3,72.9,79.0,858,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 79.0% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,19,16.2,15.0,71.7,77.5,920,70,85,Optimal,0,لا - لا حاجة للسقي,NON - Sol optimal / لا - التربة مثالية,Humidité optimale (70% ≤ 77.5% ≤ 85%) - Pas d'irrigation,3.5,15,3
Tomate,Automne,9,11,20,10.7,8.1,84.1,62.0,1554,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (62.0% < 70%) - Activation irrigation requise,3.5,15,3
Tomate,Automne,9,11,21,10.8,7.9,77.5,69.3,1258,70,85,Sec,1,نعم - يجب السقي,OUI - Irrigation NÉCESSAIRE / نعم - الري ضروري,Sol sec (69.3% < 70%) - Activation irrigation requise,3.5,15,3
